RowNames,MODI,MGF,MEE,FCEL,OII,SEB,RML,AEOS,BRC,CTC,TNL,IBC,KWD,TOPP,RARE,HAR,BKE,GG,GYMB,KRON,market,t90
1997-01-31,0.065420561,-0.020917431,0.133466139,-0.186440676,0.078740157,-0.12734963,0.088403359,0.174603179,-0.060710661,0.040173054,0.253420204,-0.093944021,0.112499997,0.0625,-0.192052975,-0.166292131,0.115000002,-0.117647059,0.005464481,0.03125,0.053032227,0.004517
1997-02-28,-0.029122807,0.006792453,-0.147627413,-0.010416667,-0.072992697,0.102854066,0.166666672,-0.027027028,0.157608703,0.186132118,-0.067708336,0.053521127,0.061797753,0,-0.032786883,-0.01509434,-0.094170406,0.06666667,0.070652172,-0.174242422,-0.000885003,0.003902
1997-03-31,-0.109090909,-0.012226415,-0.130886599,-0.157894731,-0.015748031,-0.022460938,-0.049833886,0.222222224,-0.056338027,-0.017094018,-0.162011176,0.010695187,0.064550266,-0.05882353,-0.118644066,-0.265753418,0.059405942,0.03125,0.09137056,-0.357798159,-0.044398565,0.004282
1997-04-30,0.091836736,0.025846153,0.047619049,-0.0125,-0.071999997,-0.01,-0.223776221,0.079545453,0.005174129,0.12608695,0.076133333,0.100740738,-0.050000001,-0.03125,-0.105769232,0.141791046,0.102803737,-0.121212125,0.030232558,0.22857143,0.042471953,0.004844
1997-05-30,0.100560747,-0.002943396,-0.038636364,0,0.172413796,0.12323232,0.108288288,-0.047368422,0.134328365,0.057915058,0.242236018,0.036144577,0.105263159,-0.016129032,0.354838699,0.092810459,0.440677971,0.034482758,-0.097065464,0.209302321,0.07126224,0.004837
1997-06-30,0.017094018,0.015923809,0.047328606,-0.075949363,0.088235296,-0.049460433,-0.03265306,0.325966865,0.01754386,-0.036496349,0.094999999,0.103488371,0.063238092,0.098360658,-0.214285716,0.008982036,0.082352944,-0.050000001,-0.039999999,0.057692308,0.044201035,0.004228
1997-07-31,0.050420169,0.034641508,0.114382789,0.08219178,0.172297299,0.13636364,-0.010379747,0.041666668,0.026034482,-0.001893939,0.161735162,0.030727081,0.119369373,-0.119402982,0.065656565,-0.056379821,0.032608695,-0.157894731,-0.010416667,-0.109090909,0.076318897,0.00453
1997-08-29,-0.01392,-0.012183486,-0.087398373,0.069620252,0.074927956,-0.021666666,-0.023554605,0.368000001,0.025316456,-0.082603373,0.070866145,-0.038934425,0.162977874,-0.084745765,-0.0521327,0.127044022,-0.021052632,0,0.031578947,0.107142858,-0.036443427,0.004337
1997-09-30,0.138775513,0.015626168,-0.041158129,0.337278098,0.021447722,0.053662691,0.032894738,0.298245609,0.028806584,0.07692308,0.170955881,0.174840093,-0.014602076,-0.09259259,-0.230000004,0.118715085,0.048387095,0.0625,0.06122449,-0.046082951,0.058026519,0.004863
1997-10-31,-0.023297491,-0.003185185,-0.233100235,0.132743359,0.04199475,0.042071197,0.002632696,0.045045044,0.0288,-0.142857149,-0.223171115,-0.070562616,-0.024691358,0.020408163,-0.025974026,0.078651689,0.107692309,-0.137254909,-0.067307696,0.12077295,-0.0341217,0.004169
1997-11-28,0.001908257,0.006130841,-0.124620058,-0.0859375,-0.168765739,0.124223605,0.040425532,0.159482762,-0.0390625,-0.021135528,0.02631579,0.08219178,-0.007233273,-0.180000007,0.146666661,-0.061574075,0.217592597,-0.454545468,0.190721646,0.077586204,0.031114595,0.003986
1997-12-31,0.005524862,0.005981308,0.043749999,0.085470088,-0.042424243,0.216160223,-0.130879343,0.03717472,0.008130081,0.1039261,-0.053254437,0.081374325,-0.121020034,-0.134146348,-0.162790701,-0.155555561,0.041825093,0.291666657,-0.051948052,-0.014,0.018040905,0.005112
1998-01-30,0.021978023,0.024822431,0.008361204,0.039370079,-0.186708868,-0.088636361,-0.070588239,0.032258064,-0.035483871,-0.194560677,0.074666664,-0.06167224,0.0125,0.211267605,0.069444448,-0.084795319,-0.02189781,0.193548381,-0.036529679,0.010141988,0.004423877,0.004677
1998-02-27,0.009032258,-0.003229358,0.25373134,0.06818182,0.031128405,0.027431421,0.10440506,0.234375,0.109243698,0.142324358,0.135922328,-0.042857144,0.067901231,0.023255814,0.025974026,0.189776361,0.227611944,0.013513514,0.018957347,0.108433738,0.072827801,0.003693
1998-03-31,-0.007142857,-0.003481481,0.057142857,0.517730474,0.192452833,-0.113470875,-0.011520738,0.485232055,0.015151516,0.006849315,0.071794875,-0.026119404,-0.043236993,-0.06818182,0.202531651,-0.053763442,0.21884498,0.013333334,-0.037209302,0.018115941,0.051357798,0.004878
1998-04-30,0.070143886,-0.031551402,-0.050251257,-0.086448595,0.161392406,-0.06849315,0.012214452,0.329545468,-0.085074626,-0.090702951,0.044593301,-0.018927203,0.034412954,0.195121944,0.094736844,-0.022727273,0.009975063,0.184210524,-0.289855063,0.024911031,0.010934916,0.004626
1998-05-29,-0.080067225,0.015766991,0.009259259,-0.135549873,-0.062670298,-0.219117641,0.009259259,-0.011217949,-0.049180329,-0.108793542,-0.012232416,0.021526419,0.035225049,0.122448981,-0.043269232,-0.009011628,0.007407407,-0.077777781,-0.13945578,-0.006944444,-0.02544966,0.004217
1998-06-30,0.018382354,0.025230769,0.073656619,-0.065088756,-0.174418598,0.096986815,0.107798167,0,-0.040948275,-0.08063522,-0.010835913,0.017241379,0.086124763,-0.100000001,0.180904523,-0.095447868,-0.132352948,-0.096385539,-0.041501977,0.013986014,0.03270055,0.004381
1998-07-31,-0.036101084,0.006490566,-0.175245091,-0.06329114,-0.211267605,0.030927835,0.082815737,0.280388981,-0.257528096,0.086153843,-0.406948358,-0.120301321,-0.111888111,-0.070707068,-0.157446802,0.024350649,-0.182203397,-0.079999998,-0.208247423,-0.04137931,-0.023095451,0.004372
1998-08-31,-0.160374537,0.015471698,-0.059435364,-0.371621609,-0.334821433,-0.059999999,-0.028221797,-0.291139245,-0.182926834,-0.300766915,-0.185185179,-0.105150215,-0.159448817,-0.130434781,-0.060606062,-0.109667197,-0.186528504,-0.405797094,-0.270833343,0.068345323,-0.15685074,0.00451
1998-09-30,0.042696629,0.015028037,0.042969983,0.107526883,0.530201316,-0.041666668,-0.169960469,-0.010714286,0.238805965,0.248979598,0.038961038,0.189448446,0.013021077,0.125,-0.07526882,0.046345811,-0.082802549,1,-0.142857149,-0.003367003,0.064144604,0.005102
1998-10-30,0.12931034,0.005481482,-0.05479452,0.029126214,0.00877193,0.177777782,-0.064285718,0.169675097,0.116144575,0.150326803,0.365500003,-0.191290319,0.013953488,0.13333334,0.116279073,0.102214649,0.006944444,-0.048780486,-0.108333334,-0.027027028,0.074386835,0.003809
1998-11-30,0.120916031,-0.022296296,0.103059582,0,-0.134782612,0.352201253,-0.024834605,0.475308657,0.119565219,0.055251818,0.107798167,0.050000001,-0.009174312,0.647058845,0.026041666,0.056877896,0.413793117,0.128205135,0,0.201388896,0.061803073,0.003565
1998-12-31,-0.006849315,0.005638095,-0.002627737,0.056603774,0.206030145,-0.018023256,-0.146981627,0.115062758,0.046116505,-0.107816711,0.055900622,0.007142857,-0.068148151,-0.047619049,0.137055844,-0.106881402,-0.063414633,0.045454547,-0.046728972,0.024566473,0.063309751,0.003951
1999-01-29,-0.206896558,-0.013409523,-0.10882353,-0.142857149,-0.358333319,-0.009478673,-0.030769231,0.026266417,0.017540604,-0.01510574,-0.229490191,-0.06827423,0.109999999,-0.025,0.053571429,0.101639345,0.114583336,0,0.235294119,0.06629055,0.03828891,0.003572
1999-02-26,-0.018782608,-0.003961165,-0.070957094,0.063858695,0.038961038,-0.126794264,-0.002412698,0.006398538,-0.123853214,0.087222576,-0.05102041,-0.022900764,-0.078828827,-0.102564104,-0.059322033,-0.08809524,-0.086448595,0.021739131,0.333333343,-0.104497358,-0.037870307,0.003042
1999-03-31,0.002232143,-0.004,-0.226998225,-0.218390808,0.512499988,-0.182876706,0.032051284,0.0417802,-0.123036653,0.064971752,-0.008064516,-0.1015625,-0.130660146,0,-0.009009009,-0.039215688,-0.079283886,0.021276595,-0.148809522,-0.131462336,0.037997708,0.004331
1999-04-30,0.113585748,0.00570297,0.236111104,0.470588237,0.090909094,-0.114093959,0.099378884,0.042720139,0.243462682,0.132481694,0.270894319,0.035130434,0.167138815,0.585714281,0.309090912,0.25,0.03888889,-0.010416667,0.160839155,0.387755096,0.04883058,0.003557
1999-05-28,0.035360001,-0.004039604,0.116104871,0,-0.064393938,-0.015151516,0.065649718,0.091973245,-0.031400967,-0.177304968,0.017094018,-0.016853932,-0.077669904,-0.090090089,0.277777791,-0.03292517,0.184491977,-0.136842102,0.186746985,0.088694856,-0.02083547,0.003504
1999-06-30,0.013618677,0.00592,0.092617452,0.140000001,0.044534411,0.308653831,-0.167999998,0.114854515,0.296758115,0.137931034,0.084033616,0.025714286,0.148842111,0.153465346,0.108695649,-0.008450705,0.038374718,-0.024390243,-0.147208124,0.22921063,0.050884441,0.004475
1999-07-30,-0.016314778,-0.0036,-0.010802469,0.210526317,0.093023255,-0.205882356,-0.016025642,-0.151098907,0.081846155,0.030303031,0.08542636,0.044902507,-0.163594469,0.227467805,-0.125,0,0.052173913,-0.100000001,-0.505952358,0.063186817,-0.030635569,0.004142
1999-08-31,-0.064039022,-0.01389899,0.032761309,0.268115938,0.138297871,-0.1037037,-0.119739413,0.016181231,-0.142857149,-0.11607451,0.001788909,0.026737968,0.052341599,-0.006993007,-0.117647059,-0.032954544,-0.442148775,0.097222224,0,0.036821704,-0.010089464,0.00417
1999-09-30,-0.216386557,0.016742269,-0.022356495,0.205714285,-0.161993772,-0.10640496,-0.152985081,0.23407644,0.06666667,-0.197222218,0.007142857,-0.041666668,-0.071832463,-0.154929578,0.0984127,-0.010294118,0.022222223,0.32911393,0.3253012,-0.268535823,-0.022853671,0.004565
1999-10-29,0.067024127,-0.024244897,-0.00931677,-0.028436018,-0.193308547,0.0390625,0.070484579,-0.116129033,-0.088437498,-0.072664358,0.033829786,-0.116521738,-0.196022734,0.308333337,-0.078034684,-0.028231798,-0.043478262,-0.03809524,-0.063636363,0.223168656,0.062232349,0.00394
1999-11-30,0.144924626,-0.01431579,0.054858934,0.401219517,-0.041474655,0.042606518,-0.13069959,0.067153282,0.058189657,0.097014926,0.178694159,-0.129629627,0.173144877,0.159235671,0.065830722,0.261162072,-0.060606062,-0.138613865,-0.048543688,0.155988857,0.035954852,0.004302
1999-12-31,-0.115044251,-0.014623656,0.096582465,0.046997391,0.149038464,-0.168803424,0.282296658,-0.01504788,0.105906315,-0.006802721,0.037900876,0.028368793,-0.055542167,-0.08791209,0.018382354,0.089805827,-0.044354837,0.057471264,-0.081632651,0.156626508,0.082946882,0.004551
2000-01-31,-0.01,0.039999999,-0.129427791,0.496259362,0.11297071,-0.046332046,-0.108208954,-0.193055555,-0.157053411,0.08561644,-0.051853932,-0.154758617,-0.093247585,-0.1746988,-0.236101076,0.040089086,0.059071731,-0.173913047,-0.194444448,0,-0.040351909,0.004339
2000-02-29,-0.068989895,0.017617021,-0.28794992,0.99333334,0.142857149,-0.033738192,-0.065941423,-0.297762483,-0.046153847,0.009463723,0.112759642,-0.24993442,-0.04255319,-0.124087594,0.141776934,0.06188437,-0.067729086,0.013157895,0.034482758,0.058333334,0.028740389,0.004262
2000-03-31,0.101369865,0.01743158,0.0989011,0.046822742,-0.013157895,-0.009776536,0.036199097,0.487745106,0.149769589,0.137500003,0.242666662,0.245901644,0.050222222,0.108333334,0.029801324,-0.031281535,0.102564104,0.246753246,-0.119999997,-0.533464551,0.056403261,0.004793
2000-04-28,-0.121890545,0.01725,0.082661293,-0.479233235,-0.079999998,0.016949153,0.371179044,-0.551894546,-0.05266533,-0.186813191,0.162102997,-0.100350879,-0.024911031,0.052631579,0.591639876,0.08958333,-0.20542635,0,-0.121212125,0.084388189,-0.058724284,0.004941
2000-05-31,-0.076487251,-0.013525773,-0.031657357,0.064417176,0.130434781,0.022222223,0.140891716,-0.033088237,0.025531914,0.067567565,0.020332716,0.137254909,-0.01459854,0.192857146,-0.115151517,-0.113957934,0.058536585,0.0625,-0.224137932,-0.073929958,-0.037999153,0.006164
2000-06-30,0.341614902,0.038821053,-0.01923077,0.592218995,-0.025641026,-0.063858695,-0.101123594,-0.14828898,0.078838177,-0.082278483,0.4039855,-0.034482758,0.261333346,0.101796404,0.031963471,0.05399568,-0.133640558,0.127450988,0.06666667,-0.126050428,0.050815426,0.004348
2000-07-31,0,0.006693878,-0.057312254,0.068778284,-0.197368428,0.186046511,-0.015625,0.0625,-0.058230769,-0.172413796,0.138761297,0.406785727,0.059171598,-0.164402172,0.028761063,0.036885247,0.159574464,-0.156521738,0.729166687,0.317307681,-0.017470088,0.004468
2000-08-31,0.050925925,0.01689796,0.004192872,0.612193048,0.143442616,-0.044117648,-0.02463492,1.004201651,-0.049281314,0.174999997,0.15646258,-0.085987262,-0.277765363,-0.180487812,-0.032258064,0.214229256,-0.041284405,0.15463917,-0.048192769,0.091240875,0.075955302,0.005156
2000-09-29,0.001666667,-0.003636364,0.010438413,0.617384434,-0.046594981,-0.16538462,-0.167213112,0.056603774,0.045356371,-0.014184397,-0.20784314,-0.184668988,0.140625,0.166666672,0.086666666,0.018892469,-0.110047847,-0.035714287,0.101265825,-0.19732441,-0.051321931,0.005281
2000-10-31,-0.063782588,0.016571429,0.166666672,-0.204416305,-0.154135332,0.07692308,0.007874016,0.09325397,0.030743802,-0.12230216,0.098440595,-0.037948716,0.065068491,-0.017006803,0.141104296,0.227621526,0.446236551,-0.09259259,0.643678188,0.214583337,-0.023613907,0.005153
2000-11-30,0.045023698,0.006303031,0.042857144,-0.270000011,0.13333334,-0.09142857,0.051718749,0.279491842,-0.074596778,-0.057377048,-0.323562562,0.089285716,0.043601286,0.093425609,0.107526883,-0.239062503,0.059479553,0,0.447552443,-0.05317324,-0.101290807,0.005308
2000-12-29,-0.240274593,0.056808081,0.416072547,0.226726308,0.219607845,-0.017295597,-0.074906364,-0.041134752,0.178649232,-0.082608692,0.096666664,-0.077868849,0.049689442,-0.069620252,-0.133495152,0,-0.014035088,-0.010204081,0.072463766,-0.103260867,0.019491985,0.005512
2001-01-31,0.2379518,0.010615417,0.363921523,0.04284412,-0.032797467,0.07692308,0.234655842,0.369822472,0.10255079,0.204170629,0.265258372,0.103644431,0.059881628,0.034013607,0.285714298,-0.033972647,0.166120976,0.019381415,0.036036037,0.282828271,0.038430925,0.0069
2001-02-28,0.043795619,0.009035219,0.129384711,-0.34353146,0.095744744,-0.023809524,0.0041973,-0.097732179,-0.129380032,-0.086272031,-0.329807729,0.05889973,-0.010719061,0.02631579,0.013071896,-0.151304558,-0.083496049,0.066343099,-0.182608694,-0.192125991,-0.097798802,0.003967
2001-03-30,-0.030588236,0.007328206,0.219959304,0.075898804,0.043689299,0.092987806,-0.015789434,-0.174147218,0.0433437,-0.090282589,-0.285796255,-0.066014722,-0.055981927,0.03846154,-0.144086018,-0.144147143,-0.001065554,0.022761745,-0.148936167,-0.019493178,-0.068935394,0.004678
2001-04-30,0.082718417,-0.018749977,-0.058946483,0.364356458,0.10697671,0.055865921,0.026737968,0.294608742,-0.02136503,0.081818178,0.209873468,-0.077225134,0.028915681,-0.027160456,0.123618118,0.24071902,0.079999998,0.295964122,-0.298999965,0.082465172,0.083346188,0.00447
2001-05-31,-0.078192197,0.01499999,0.035095468,0.073584899,-0.012605011,0.022486772,-0.057812497,-0.012627652,-0.039634123,0.053921603,-0.168882981,0.065573774,0.10117095,0.010152225,-0.16744186,0.118897639,-0.029629648,0.059976876,-0.015691888,-0.037613835,0.010885352,0.003911
2001-06-29,0.083693482,0.006811108,-0.150214553,-0.375692844,-0.117021278,0.07849738,-0.053481948,-0.041088391,0.14698416,-0.064451844,0.039999999,0.070234127,-0.010633767,0.17487435,-0.028792439,0.072957754,-0.038167939,0.174102336,0.231884047,0.250381708,-0.017266383,0.003001
2001-07-31,0.063814364,0.019165402,-0.130566791,-0.304027736,0.012048192,0.240981281,0.015303133,0.042848986,-0.041516751,-0.096590884,-0.044086549,0.404374987,-0.104761906,-0.015397721,-0.094690323,-0.02861644,0.005291026,-0.090824798,-0.308235288,0.076190449,-0.017826904,0.003305
2001-08-31,-0.014314931,0.032621924,0.143771783,-0.103920355,-0.071428575,0.058139537,-0.000579688,-0.299319714,0.062409222,-0.003930833,0.026591452,0.102678627,0.052224368,-0.00086883,0.017106568,0.111486442,0.052631579,0.101936795,0.326530606,0.107329242,-0.059048899,0.003284
2001-09-28,-0.142657831,-0.012907995,-0.252417296,0.028472278,-0.17076923,-0.229853481,-0.197076067,-0.227184474,-0.185792342,-0.222572982,-0.124803782,0.032388631,-0.142463237,-0.165217355,-0.253243625,-0.184914812,-0.174999997,0.077705823,-0.166666687,-0.15881148,-0.09073253,0.004224
2001-10-31,-0.155817732,0.023111766,0.399317443,0.055367973,0.205936909,0.06666667,-0.102694824,0.376884431,0.067114145,0.045685258,0.117208518,-0.072941191,0.053513501,0.067708291,0.173101649,-0.013432859,0.099999979,0.022413779,0.330769181,0.398051172,0.02721858,0.002545
2001-11-30,0.04867471,-0.017507361,-0.133170709,0.005758167,0.043589763,0.21875,0.062500045,-0.108029164,0.010756094,0.116504833,-0.031350434,0.045396678,0.135454044,0.146341458,0.077893585,0.29183054,0.101928398,-0.038265288,0.358381569,0.126502842,0.078236729,0.002106
2001-12-31,0.084611796,-0.010166978,0.168823808,0.153943956,0.086977907,0.121794872,0.150191575,0.070785575,0.145539835,0.170434788,0.146058112,-0.018668795,0.092182606,0.034042522,0.147073865,0.056948684,0.114999965,0.076038867,0.015319175,0.122505866,0.017568521,0.001592
